artist,album,score,genres
Alvvays,Antisocialites,7.3,Rock
Sufjan Stevens & Lowell Brams,Aporia,6.8,"Folk/Country,Electronic"
Godspeed You! Black Emperor,"""Asunder, Sweet and Other Distress""",7.6,"Rock,Experimental"
Toro Y Moi,Anything In Return,7.9,Electronic
THEESatisfaction,awE naturalE,7.5,Rock
GoldLink,At What Cost,7.5,Rap
Sharon Van Etten,Are We There,8.2,Rock
Liam Gallagher,As You Were,4.9,Rock
Ghostface Killah,Apollo Kids,7.3,Rap
Kurt Vile,B'lieve I'm Goin Down...,8.4,Rock
Beach House,B-Sides and Rarities,6.9,Rock
Thundercat,Apocalypse,8.2,"Jazz,Pop/R&B"
James Blake,Assume Form,5.8,Pop/R&B
of Montreal,Aureate Gloom,7.0,Rock
Childish Gambino,"""Awaken, My Love!""",7.2,Rap
White Hinterland,Baby,7.2,Rock
Justice,"""Audio, Video, Disco""",5.3,Electronic
Kevin Abstract,Arizona Baby,6.9,Rap
Post Malone,August 26th,5.2,Rap
Cloud Nothings,Attack On Memory,8.6,Rock
Tycho,Awake,7.0,Electronic
Panopticon,Autumn Eternal,7.5,Metal
Sir Michael Rocks,Banco,SCORE ERROR,GENRES ERROR
Danny Brown,Atrocity Exhibition,8.5,Rap
Travis Scott,Astroworld,7.8,Rap
Julia Holter,Aviary,8.2,Experimental
Real Estate,Atlas,8.8,Rock
Joey Bada$$,B4.DA.$$,7.0,Rap
Shlohmo,Bad Vibes,7.8,Electronic
Nine Inch Nails,Bad Witch,8.0,Rock
Joji,Ballads 1,6.7,Pop/R&B
Teebs,Ardour,8.0,Electronic
Jesu,Ascension,7.0,"Metal,Rock"
Johnny Cash,At Folsom Prison,9.7,Folk/Country
Tom Waits,Bad As Me,8.1,Rock
"""Tyler, The Creator""",Bastard,SCORE ERROR,GENRES ERROR
BADBADNOTGOOD,BBNG2,SCORE ERROR,GENRES ERROR
Comethazine,Bawskee 2,SCORE ERROR,GENRES ERROR
BADBADNOTGOOD,BBNG,SCORE ERROR,GENRES ERROR
Flatbush Zombies,BetterOffDEAD,SCORE ERROR,GENRES ERROR
Revenge,Behold.Total.Rejection,SCORE ERROR,GENRES ERROR
Burzum,Belus,SCORE ERROR,GENRES ERROR
Hail Mary Mallon,Bestiary,SCORE ERROR,GENRES ERROR
The World Is A Beautiful Place...,Between Bodies,SCORE ERROR,GENRES ERROR
Pearls Negras,Biggie Apple EP /,SCORE ERROR,GENRES ERROR
The Debauchees,Big Machines and Peculiar Beings,SCORE ERROR,GENRES ERROR
Chelsea Wolfe,Birth of Violence,SCORE ERROR,GENRES ERROR
Phoenix,Bankrupt!,7.5,Rock
Electric Wizard,Black Masses,SCORE ERROR,GENRES ERROR
Freddie Gibbs & Madlib,Bandana,8.1,Rap
Blonde Redhead,Barragán,4.3,Rock
Quelle Chris,"""Being You Is Great, I Wish I Could Be You More Often""",7.6,Rap
2 Chainz,Based on a T.R.U. Story,4.5,Rap
Post Malone,beerbongs & bentleys,5.6,Rap
Big Ups,Before A Million Universes,7.6,Rock
Squarepusher,Be Up a Hello,6.4,Electronic
Hop Along,"""Bark Your Head Off, Dog""",8.0,Rock
Villagers,Becoming A Jackal,6.9,Rock
Mitski,Be the Cowboy,8.8,Rock
Ski Mask the Slump God,Beware the Book of Eli,7.9,Rap
Childish Gambino,Because The Internet,5.8,Rap
Iceage,Beyondless,8.6,Rock
Four Tet,Beautiful Rewind,7.4,Electronic
The Morning Benders,Big Echo,8.2,Rock
Crying,Beyond the Fleeting Gales,7.1,Electronic
D'Angelo and The Vanguard,Black Messiah,SCORE ERROR,GENRES ERROR
Young Thug,Barter 6,8.4,Rap
Björk,Biophilia,6.2,"Electronic,Pop/R&B"
Babyfather,BBF (Hosted by DJ Escrow),6.0,Electronic
Vince Staples,Big Fish Theory,8.7,Rap
Travis Scott,Birds In the Trap Sing McKnight,7.2,Rap
Woods,Bend Beyond,8.1,Rock
Pharmakon,Bestial Burden,8.4,Experimental
Stella Donnelly,Beware of the Dogs,7.6,Rock
Matthew Dear,Beams,7.3,Electronic
D.R.A.M.,Big Baby D.R.A.M.,7.8,Rap
Alex G,Beach Music,7.2,Rock
Young Thug,Beautiful Thugger Girls,8.0,Rap
Scott Walker,Bish Bosch,8.0,Rock
The Weeknd,Beauty Behind the Madness,7.2,Pop/R&B
Sun Kil Moon,Benji,9.2,Folk/Country
Various Artists,Black Panther The Album,SCORE ERROR,GENRES ERROR
The Mountain Goats,Beat The Champ,6.6,Rock
Lil B,Black Ken,8.5,Rap
Common,Black America Again,7.9,Rap
Ariel Pink's Haunted Graffiti,Before Today,9.0,"Experimental,Rock"
The Pains of Being Pure at Heart,Belong,8.2,Rock
Matthew Dear,Black City,8.4,Electronic
Miles Davis,Bitches Brew,9.5,Jazz
Black Milk & Danny Brown,Black & Brown,6.5,Rap
Dean Blunt,Black Metal,7.3,Experimental
Mariam The Believer,Blood Donation,SCORE ERROR,GENRES ERROR
Sisu,Blood Tears,SCORE ERROR,GENRES ERROR
Twenty One Pilots,Blurryface,SCORE ERROR,GENRES ERROR
The I.L.Y's,Bodyguard,SCORE ERROR,GENRES ERROR
Kero Kero Bonito,Bonito Generation,SCORE ERROR,GENRES ERROR
Show Me The Body,Body War,SCORE ERROR,GENRES ERROR
Lady Gaga,Born This Way,SCORE ERROR,GENRES ERROR
Marilyn Manson,Born Villain,SCORE ERROR,GENRES ERROR
Tropical [Frick] Storm,Braindrops,SCORE ERROR,GENRES ERROR
Various Artists,Brand New Wayo,SCORE ERROR,GENRES ERROR
Kirin J Callinan,Bravado,SCORE ERROR,GENRES ERROR
DaBaby,Blame It on Baby,6.8,Rap
Lianne La Havas,Blood,7.7,Pop/R&B
ScHoolboy Q,Blank Face,8.3,Rap
Xenia Rubinos,Black Terry Cat,8.0,Rock
wifisfuneral,Boy Who Cried Wolf,6.0,Rap
Death Grips,Bottomless Pit,8.1,"Experimental,Rap"
Action Bronson & Party Supplies,Blue Chips 2,8.0,Rap
The Kills,Blood Pressures,6.4,"Electronic,Rock"
Trap Them,Blissfucker,7.3,"Metal,Rock"
iamamiwhoami,Blue,6.1,"Electronic,Rock"
Action Bronson,Blue Chips 7000,7.4,Rap
J. Cole,Born Sinner,6.0,Rap
Coma Cinema,Blue Suicide,7.2,
Beach House,Bloom,9.1,Rock
Jack White,Blunderbuss,7.8,Rock
Logic,Bobby Tarantino II,6.7,Rap
Idles,Brutalism,SCORE ERROR,GENRES ERROR
Jack White,Boarding House Reach,6.6,Rock
Logic,Bobby Tarantino,6.7,Rap
Kurt Vile,Bottle It In,7.0,Rock
The Gaslamp Killer,Breakthrough,7.7,Rap
The Chemical Brothers,Born In the Echoes,7.8,Electronic
